FID,Id,Site,Circrat,SpeciesCod,ColonyID,PatchID,PatchName,LinkTP_Bac,LinkTP_For,Date,Notes,TimePt,Max_Diam,Poly_Area,Poly_Perim,Shape_Leng,Shape_Area
0,0,OCC_MAI_00,1,PGRA, ,37,OCC_MAI_002_01_04/27/2019_PGRA_0037,15, ,04/27/2019, ,2,0.0000000,0.0625000,1.4902000,1.489975774320000,0.062519264933600
1,0,OCC_MAI_00,19,PMEA, ,38,OCC_MAI_002_19_04/27/2019_PMEA_0038,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0032000,0.2282000,0.228122940804000,0.003210654961240
2,0,OCC_MAI_00,1,PMEA, ,39,OCC_MAI_002_01_04/27/2019_PMEA_0039,16, ,04/27/2019, ,2,0.0000000,0.0158000,0.5061000,0.505936689096000,0.015822030047900
3,0,OCC_MAI_00,19,PMEA, ,40,OCC_MAI_002_19_04/27/2019_PMEA_0040,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0007000,0.1002000,0.099986361257100,0.000723560026499
4,0,OCC_MAI_00,9,PGRA, ,41,OCC_MAI_002_09_04/27/2019_PGRA_0041,18, ,04/27/2019, ,2,0.0000000,0.0101000,0.4122000,0.412278483381000,0.010051229998500
5,0,OCC_MAI_00,9,PMEA, ,42,OCC_MAI_002_09_04/27/2019_PMEA_0042,20, ,04/27/2019, ,2,0.0000000,0.0059000,0.3247000,0.324543927885000,0.005896589994910
6,0,OCC_MAI_00,7,PGRA, ,43,OCC_MAI_002_07_04/27/2019_PGRA_0043,22, ,04/27/2019, ,2,0.0000000,0.0171000,0.6285000,0.628304956197000,0.017073229974100
7,0,OCC_MAI_00,7,PMEA, ,44,OCC_MAI_002_07_04/27/2019_PMEA_0044,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0018000,0.2079000,0.207859974657000,0.001846995007090
8,0,OCC_MAI_00,7,PMEA, ,45,OCC_MAI_002_07_04/27/2019_PMEA_0045,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0025000,0.1950000,0.195042545491000,0.002452419979160
9,0,OCC_MAI_00,7,PMEA, ,46,OCC_MAI_002_07_04/27/2019_PMEA_0046,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0009000,0.1283000,0.128128643974000,0.000918424978659
10,0,OCC_MAI_00,11,PMEA, ,47,OCC_MAI_002_11_04/27/2019_PMEA_0047,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0007000,0.1054000,0.105435241829000,0.000711659996987
11,0,OCC_MAI_00,11,PMEA, ,48,OCC_MAI_002_11_04/27/2019_PMEA_0048,29, ,04/27/2019, ,2,0.0000000,0.0395000,1.0584000,1.058323051380000,0.039456664994000
12,0,OCC_MAI_00,11,PMEA, ,49,OCC_MAI_002_11_04/27/2019_PMEA_0049,28, ,04/27/2019, ,2,0.0000000,0.0353000,0.8985000,0.898653241185000,0.035347554949100
13,0,OCC_MAI_00,2,PMEA, ,50,OCC_MAI_002_02_04/27/2019_PMEA_0050,31, ,04/27/2019, ,2,0.0000000,0.0283000,0.7512000,0.751478481970000,0.028304440052000
14,0,OCC_MAI_00,2,PMEA, ,51,OCC_MAI_002_02_04/27/2019_PMEA_0051,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0015000,0.1651000,0.165259941473000,0.001536209983890
15,0,OCC_MAI_00,2,PMEA, ,52,OCC_MAI_002_02_04/27/2019_PMEA_0052,127, ,04/27/2019, ,2,0.0000000,0.0039000,0.2537000,0.253711146786000,0.003924325037640
16,0,OCC_MAI_00,2,PMEA, ,53,OCC_MAI_002_02_04/27/2019_PMEA_0053,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0014000,0.1461000,0.146048422683000,0.001421204986210
17,0,OCC_MAI_00,2,PMEA, ,54,OCC_MAI_002_02_04/27/2019_PMEA_0054,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0030000,0.2082000,0.208191482975000,0.003002564974290
18,0,OCC_MAI_00,3,PMEA, ,55,OCC_MAI_002_03_04/27/2019_PMEA_0055,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0007000,0.0965000,0.096457879632800,0.000686845000921
19,0,OCC_MAI_00,3,PMEA, ,56,OCC_MAI_002_03_04/27/2019_PMEA_0056,8, ,04/27/2019, ,2,0.0000000,0.0138000,0.4868000,0.486550323679000,0.013786869947500
20,0,OCC_MAI_00,5,PMEA, ,57,OCC_MAI_002_05_04/27/2019_PMEA_0057,6, ,04/27/2019, ,2,0.0000000,0.0043000,0.3698000,0.369822842931000,0.004342929975540
21,0,OCC_MAI_00,5,PMEA, ,58,OCC_MAI_002_05_04/27/2019_PMEA_0058,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0006000,0.0921000,0.092073647967100,0.000577935005721
