FID,Id,Site,Circrat,Date,Spec_Code,ColonyID,PatchID,PatchName,Poly_Area,Poly_Perim,LinkTP_Bac,LinkTP_For,Notes,TimePt,Shape_Leng,Shape_Area
0,0,OAH22,1,08/01/2016,PMEA, ,1,OAH22_01_08/01/2016_PMEA_0001,0.009927927003770,0.398227473072000, ,39, ,1,0.398167268563000,0.009925689943310
1,0,OAH22,1,08/01/2016,PLIC, ,2,OAH22_01_08/01/2016_PLIC_0002,0.019648057823100,0.728015759773000, ,"40,47", ,1,0.727942455122000,0.019642474942900
2,0,OAH22,1,08/01/2016,PMEA, ,4,OAH22_01_08/01/2016_PMEA_0004,0.034298380419900,0.996472644816000, ,49, ,1,0.996829042908000,0.034298179931400
3,0,OAH22,1,08/01/2016,PMEA, ,5,OAH22_01_08/01/2016_PMEA_0005,0.016303578258900,0.537341937014000, ,51, ,1,0.537051801241000,0.016302694968200
4,0,OAH22,1,08/01/2016,MFLA, ,6,OAH22_01_08/01/2016_MFLA_0006,0.002373215769190,0.256454203976000, ,"53,57",Fission,1,0.256491283388000,0.002371414979020
5,0,OAH22,1,08/01/2016,MOSP, ,7,OAH22_01_08/01/2016_MOSP_0007,0.005948763282450,0.418322756386000, ,54,Fusion?,1,0.418230343898000,0.005944595054780
6,0,OAH22,1,08/01/2016,MOSP, ,8,OAH22_01_08/01/2016_MOSP_0008,0.003265510913880,0.252810737256000, ,56,Fusion,1,0.253023330533000,0.003266444988510
7,0,OAH22,1,08/01/2016,MOSP, ,9,OAH22_01_08/01/2016_MOSP_0009,0.005125211410490,0.445217966364000, ,56,Fusion,1,0.445251437022000,0.005123115000440
8,0,OAH22,1,08/01/2016,MOSP, ,11,OAH22_01_08/01/2016_MOSP_0011,0.004031336501290,0.300228592650000, ,54,Fusion?,1,0.300372050529000,0.004031345008340
9,0,OAH22,1,08/01/2016,PLIC, ,13,OAH22_01_08/01/2016_PLIC_0013,0.004149547086630,0.302776982418000, ,"43,44",Fission,1,0.302729956704000,0.004150359983130
10,0,OAH22,1,08/01/2016,PLIC, ,14,OAH22_01_08/01/2016_PLIC_0014,0.000847251181624,0.122104751142000, ,45,Fusion,1,0.122089735197000,0.000847585012815
11,0,OAH22,1,08/01/2016,PLIC, ,15,OAH22_01_08/01/2016_PLIC_0015,0.000328941528508,0.075309238037300, ,45,Fusion,1,0.075206001068900,0.000328855001990
12,0,OAH22,1,08/01/2016,PLUT, ,16,OAH22_01_08/01/2016_PLUT_0016,0.000896864162119,0.110362861650000, ,62,Fusion,1,0.110513519446000,0.000899554985912
13,0,OAH22,1,08/01/2016,PLIC, ,17,OAH22_01_08/01/2016_PLIC_0017,0.002552872153450,0.216511565201000, ,-99,Mortality maybe,1,0.216406324845000,0.002550934971630
14,0,OAH22,1,08/01/2016,PLUT, ,18,OAH22_01_08/01/2016_PLUT_0018,0.005265794882030,0.272967835782000, ,59, ,1,0.272925011894000,0.005265779986710
15,0,OAH22,1,08/01/2016,PLUT, ,19,OAH22_01_08/01/2016_PLUT_0019,0.375650880900000,4.391511005020000, ,62,Fusion,1,4.391540562660000,0.375666309995000
16,0,OAH22,1,08/01/2016,PLUT, ,20,OAH22_01_08/01/2016_PLUT_0020,0.051535678998100,1.714790056040000, ,61,Partial mortality,1,1.714707768900000,0.051531050075400
17,0,OAH22,1,08/01/2016,MOSP, ,21,OAH22_01_08/01/2016_MOSP_0021,0.009054073365050,0.535233727445000, ,"76,77",Fission,1,0.535250747861000,0.009054649960220
18,0,OAH22,1,08/01/2016,MOSP, ,22,OAH22_01_08/01/2016_MOSP_0022,0.017480699070800,0.621964518343000, ,56,Fusion,1,0.621729656510000,0.017479050013200
19,0,OAH22,1,08/01/2016,PLUT, ,23,OAH22_01_08/01/2016_PLUT_0023,0.008202334137680,0.451396632956000, ,42, ,1,0.451694891882000,0.008202139956730
20,0,OAH22,1,08/01/2016,PLUT, ,24,OAH22_01_08/01/2016_PLUT_0024,0.006089569802210,0.386343348185000, ,42, ,1,0.386352479675000,0.006089584980250
21,0,OAH22,1,08/01/2016,PLUT, ,25,OAH22_01_08/01/2016_PLUT_0025,0.001567516863930,0.185440944525000, ,-99,Mortality,1,0.185383468075000,0.001566334970210
