,Mean.REGION,Mean.ISLAND,Mean.ANALYSIS_SEC,Mean.OBS_YEAR,Mean.N,Mean.ENC,Mean.UPMA,Mean.TURFH,Mean.FREE,Mean.CCAH,Mean.FOL,Mean.TURFR,Mean.EMA,Mean.OCTO,Mean.UI,Mean.SAND,Mean.BR,Mean.SP,Mean.AMNE,Mean.BGMA,Mean.CCAR,Mean.MASS,Mean.NS,Mean.HAL,Mean.HARD,Mean.TAB,Mean.TUN,Mean.ZO,Mean.COL,Mean.CMOR,Mean.RUB,Mean.BRY,Mean.GC,Mean.USC,Mean.POCS,Mean.ISSP,Mean.POMA,Mean.HALI,Mean.ECHP,Mean.MICR,Mean.GALS,Mean.ACBR,Mean.FASP,Mean.STYS,Mean.ASSP,Mean.GONS,Mean.LEPT,Mean.PLLE,Mean.MOEN,Mean.HYSP,Mean.FAVS,Mean.PAVS,Mean.PONM,Mean.CYPS,Mean.GASP,Mean.LOSY,Mean.TURS,Mean.ACAS,Mean.MONE,Mean.GOAL,Mean.ASPP,Mean.COSP,Mean.PADI,Mean.PESP,Mean.PSSP,Mean.FINE,Mean.ACTA,Mean.CAUL,Mean.DICO,Mean.AMSP,Mean.LESP,Mean.AVSP,Mean.GALI,Mean.NEOM,Mean.DICT,Mean.SG,Mean.LOBO,Mean.CHLS,Mean.ECHL,Mean.BI,Mean.ACPH,Mean.LOBS,Mean.MOFO,Mean.PAEN,Mean.POFO,Mean.MISP,Mean.POBR,Mean.RDMA,Mean.POEN,Mean.GRMA,Mean.DISP,Mean.MONS,Mean.LPHY,Mean.PLSP,Mean.SYSP,Mean.PAMA,Mean.MESP,Mean.PACS,Mean.FUSP,Mean.MOBR,Mean.OUSP,Mean.HYCO,Mean.HCOE,Mean.BRMA,Mean.PAFO,Mean.EUSP,Mean.PLER,Mean.ASTS,Mean.PHSP,Mean.ANTI,Mean.TOT_AREA_WT,PooledSE.REGION,PooledSE.ISLAND,PooledSE.ANALYSIS_SEC,PooledSE.OBS_YEAR,PooledSE.N,PooledSE.ENC,PooledSE.UPMA,PooledSE.TURFH,PooledSE.FREE,PooledSE.CCAH,PooledSE.FOL,PooledSE.TURFR,PooledSE.EMA,PooledSE.OCTO,PooledSE.UI,PooledSE.SAND,PooledSE.BR,PooledSE.SP,PooledSE.AMNE,PooledSE.BGMA,PooledSE.CCAR,PooledSE.MASS,PooledSE.NS,PooledSE.HAL,PooledSE.HARD,PooledSE.TAB,PooledSE.TUN,PooledSE.ZO,PooledSE.COL,PooledSE.CMOR,PooledSE.RUB,PooledSE.BRY,PooledSE.GC,PooledSE.USC,PooledSE.POCS,PooledSE.ISSP,PooledSE.POMA,PooledSE.HALI,PooledSE.ECHP,PooledSE.MICR,PooledSE.GALS,PooledSE.ACBR,PooledSE.FASP,PooledSE.STYS,PooledSE.ASSP,PooledSE.GONS,PooledSE.LEPT,PooledSE.PLLE,PooledSE.MOEN,PooledSE.HYSP,PooledSE.FAVS,PooledSE.PAVS,PooledSE.PONM,PooledSE.CYPS,PooledSE.GASP,PooledSE.LOSY,PooledSE.TURS,PooledSE.ACAS,PooledSE.MONE,PooledSE.GOAL,PooledSE.ASPP,PooledSE.COSP,PooledSE.PADI,PooledSE.PESP,PooledSE.PSSP,PooledSE.FINE,PooledSE.ACTA,PooledSE.CAUL,PooledSE.DICO,PooledSE.AMSP,PooledSE.LESP,PooledSE.AVSP,PooledSE.GALI,PooledSE.NEOM,PooledSE.DICT,PooledSE.SG,PooledSE.LOBO,PooledSE.CHLS,PooledSE.ECHL,PooledSE.BI,PooledSE.ACPH,PooledSE.LOBS,PooledSE.MOFO,PooledSE.PAEN,PooledSE.POFO,PooledSE.MISP,PooledSE.POBR,PooledSE.RDMA,PooledSE.POEN,PooledSE.GRMA,PooledSE.DISP,PooledSE.MONS,PooledSE.LPHY,PooledSE.PLSP,PooledSE.SYSP,PooledSE.PAMA,PooledSE.MESP,PooledSE.PACS,PooledSE.FUSP,PooledSE.MOBR,PooledSE.OUSP,PooledSE.HYCO,PooledSE.HCOE,PooledSE.BRMA,PooledSE.PAFO,PooledSE.EUSP,PooledSE.PLER,PooledSE.ASTS,PooledSE.PHSP,PooledSE.ANTI
1,MHI,Hawaii,HAW_HAMAKUA,2010,10,3.390742631,5.335293216,66.14620168,0,5.671031159,0,0.689339008,5.269896395,0,0,7.351059887,2.549436822,0,0,0.064847502,0.240754351,2.547284275,0,0.039615502,0.4093513,0,0,0.255530772,0,0,0.039615502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4930.831404,MHI,Hawaii,HAW_HAMAKUA,2010,10,1.223874246,1.914449098,2.8912517,0,1.081815077,0,0.359884275,1.517358268,0,0,2.130938961,0.774025339,0,0,0.064830136,0.175479075,0.755500306,0,0.039606637,0.239735012,0,0,0.161918205,0,0,0.039606637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,MHI,Hawaii,HAW_KONA,2010,21,3.228878983,0.84460001,46.40442529,0.021826707,8.950413304,0.033143065,0.436979657,8.32078808,0,0.033143065,5.249701333,7.31911485,0.012245154,0,0.513045448,0.064698272,16.95163039,0,0.162550382,1.060393449,0.012685627,0,0.012245154,0.024778058,0,0.342713725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5727.459565,MHI,Hawaii,HAW_KONA,2010,21,0.56355632,0.592210956,3.121743888,0.021818622,1.416545019,0.024210688,0.14186794,2.002104736,0,0.024210688,1.070837233,1.311921351,0.012237574,0,0.193093556,0.044243589,2.871338679,0,0.06143298,0.350406364,0.012677774,0,0.012237574,0.024768045,0,0.156851865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,MHI,Hawaii,HAW_PUNA,2010,11,4.55739972,1.955093069,48.96097005,0,15.27701037,0,2.05774315,8.935556792,0,0.052890857,6.081975302,3.611108903,0,0,0.026727764,1.119634955,5.647178061,0,0.237235945,0.873271753,0.051266224,0,0.287117193,0,0,0.267819895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3050.747533,MHI,Hawaii,HAW_PUNA,2010,11,1.638214953,0.691736648,4.605807721,0,1.994827993,0,0.761711027,1.395130051,0,0.052861995,0.975737628,1.542008203,0,0,0.026713179,0.422082751,3.31123135,0,0.127624775,0.440422884,0.051238248,0,0.157150829,0,0,0.131880046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MHI,Kauai,KAU_EAST,2010,19,4.384046585,4.682910586,64.8353563,0,8.930868875,0,1.018882989,5.280979469,0.075295881,0.011021681,3.502753766,2.323665461,0.010683131,0,0.687755381,0.817494722,1.217105383,0,0.613573418,1.244012078,0,0,0.144065071,0.082028415,0,0.10545142,0.032049392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11545.39381,MHI,Kauai,KAU_EAST,2010,19,1.931292961,0.969951439,3.563280303,0,1.491127017,0,0.349338655,1.60504609,0.075269832,0.011017868,1.15973025,0.516056683,0.010679435,0,0.472230478,0.405189991,0.168688503,0,0.185865779,0.502115221,0,0,0.124701513,0.072097829,0,0.057397874,0.032038305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,MHI,Kauai,KAU_NAPALI,2010,5,2.604129927,5.863793478,72.32427679,0,2.480881248,0,1.136992782,9.746826215,0,0,3.15749419,0.605484018,0,0,0.10389252,0.153105983,1.292958155,0,0.03463084,0.140108423,0,0,0.35542543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6183.949577,MHI,Kauai,KAU_NAPALI,2010,5,0.791737285,3.015928741,2.428952448,0,0.530979831,0,0.504292374,2.772890632,0,0,1.264601372,0.392937317,0,0,0.10387175,0.123424252,0.68635561,0,0.034623917,0.091717988,0,0,0.355404803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,MHI,Lanai,LAN_NORTH,2010,2,5.465938953,6.405902567,62.50859107,0,6.155245603,0,0.196078431,2.084091369,0,0,0.515463918,5.809581565,0,0,0,0,9.583586012,0,0.343642612,0.588235294,0,0,0,0,0,0.343642612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.8075072,MHI,Lanai,LAN_NORTH,2010,2,5.120269098,5.619363994,15.83565466,0,1.687223637,0,0.19600083,1.052746725,0,0,0.515259913,4.776762489,0,0,0,0,9.236286522,0,0.343506609,0.588002489,0,0,0,0,0,0.343506609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,MHI,Lanai,LAN_SOUTH,2010,12,10.12801448,6.058948241,56.09885422,0,3.794759317,0.390614088,2.211007797,2.020412135,0,0,3.290764822,9.250777151,0,0,0.577936813,0.503517929,3.707825276,0,0.498184315,0.504978476,0.730437948,0,0,0.118551655,0,0.114415337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480.663929,MHI,Lanai,LAN_SOUTH,2010,12,4.151082391,3.733021057,7.356101362,0,0.669792423,0.257228489,1.451173433,0.509572205,0,0,1.188368366,2.648651874,0,0,0.283396708,0.465548857,1.067953645,0,0.212036091,0.321243177,0.729689146,0,0,0.118430123,0,0.090201016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,MHI,Maui,MAI_HANA,2010,4,0.75507421,8.241986792,74.81336305,0,5.716183696,0,0.536263856,2.285743991,0,0,3.511550867,1.460494694,0.09765293,0,0.414448368,0.948725549,0.779901073,0,0,0.243305065,0,0,0.195305861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.4780961,MHI,Maui,MAI_HANA,2010,4,0.20792035,6.607534612,4.13578817,0,1.770501766,0,0.4164625,0.810427748,0,0,1.263458595,0.242838973,0.097558403,0,0.293150407,0.661753375,0.41243135,0,0,0.17514675,0,0,0.195116806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,MHI,Maui,MAI_KIHEI,2010,8,9.022264454,2.741924888,39.22330513,0,7.286291637,0.620796618,1.071259496,3.257793338,0,0,6.013602361,11.3383991,0,0,1.009047508,0,16.78460089,0,0.903980825,0.149101548,0,0,0,0,0,0.577632204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870.557691,MHI,Maui,MAI_KIHEI,2010,8,2.670359746,2.605795614,7.788453966,0,2.237202184,0.35023496,0.792435715,0.870022594,0,0,1.810610168,3.774027509,0,0,0.338477508,0,6.330302309,0,0.903484016,0.088680402,0,0,0,0,0,0.488178934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,MHI,Maui,MAI_LAHAINA,2010,6,7.603775149,5.4418906,50.38622583,0,3.182405572,1.263375801,0.059186114,2.302860257,0,0,13.06441935,9.747101969,0,0,0.622228403,0.056852611,5.466806099,0,0.637644339,0.1652279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923.2765979,MHI,Maui,MAI_LAHAINA,2010,6,5.466750983,3.342152025,10.31008943,0,1.65376276,1.065252932,0.059135574,1.89743999,0,0,6.164286348,5.52348764,0,0,0.289686763,0.056804064,2.010258842,0,0.637150033,0.165086812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
