,METHOD,REGION,ANALYSIS_YEAR,ISLAND,Sector,GENUS_CODE,n,Ntot,Mean_AdColDen,SE_AdColDen,Mean_JuvColDen,SE_JuvColDen,Mean_Ave.od,SE_Ave.od,Mean_Ave.rd,SE_Ave.rd,Mean_Ave.size,SE_Ave.size,Mean_BLE_Prev,SE_BLE_Prev,Mean_AcuteDZ_Prev,SE_AcuteDZ_Prev,Mean_ChronicDZ_Prev,SE_ChronicDZ_Prev
1473,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,ACAS,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1474,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,ACSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1475,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,ALSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1476,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,ASSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1477,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,ASTS,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1478,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,BASP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1479,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,CASP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1480,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,COES,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1481,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,COSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1482,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,CTSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1483,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,CYPS,4,13806,0,0,0.094412453,0.013484475,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1484,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,CYSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1485,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,DIAS,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1486,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,DISP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1487,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,ECHL,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1488,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,ECHP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1489,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,EUSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1490,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,FASP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1491,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,FAVS,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1492,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,FUSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1493,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,GARS,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1494,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,GASP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1495,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,GONS,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1496,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,GOSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1497,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,HASP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1498,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,HERS,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1499,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,HYSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1500,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,ISSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1501,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,LEPS,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1502,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,LEPT,4,13806,0.1,0.074967902,0,0,52.88051089,0,0,0,19.52215221,0,0,0,0,0,0,0
1503,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,LESP,4,13806,0.050722512,0.050717079,0,0,0,0,0,0,8.115601912,0,0,0,0,0,0,0
1504,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,LOBS,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1505,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,MESP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1506,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,MONS,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1507,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,MOSP,4,13806,1.009691696,0.486035337,2.43376672,1.311976846,9.405900271,5.860666801,0,0,16.48744037,3.006915138,0.801481883,0.801302521,0,0,0,0
1508,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,MYSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1509,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,OUSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1510,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,OXSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1511,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,PACS,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1512,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,PALS,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1513,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,PARA,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1514,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,PAVS,4,13806,0.192279036,0.169728038,0.11030832,0.07800564,35.20134966,0,0,0,12.56348568,0,0,0,0,0,0,0
1515,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,PESP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1516,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,PHSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1517,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,PLER,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1518,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,PLES,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1519,DIVER,MHI,2013,Hawaii,HAW_HAMAKUA,PLSP,4,13806,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
