SiteName,IslandCode,Latitude,Longitude,SampleDate(MM/DD/YYYY)
FFS_OCC_002,FFS,23.878152,-166.29106,9/6/2013
FFS_OCC_002,FFS,23.878152,-166.29106,9/25/2016
FFS_OCC_002,FFS,23.878152,-166.29106,8/28/2019
FFS_OCC_014,FFS,23.792456,-166.253732,9/6/2013
FFS_OCC_014,FFS,23.792456,-166.253732,9/2/2016
FFS_OCC_014,FFS,23.792456,-166.253732,8/27/2019
HAW_OCC_002,HAW,20.268,-155.9,8/15/2016
HAW_OCC_002,HAW,20.268,-155.9,7/15/2019
HAW_OCC_003,HAW,19.747,-155.1,8/8/2016
HAW_OCC_003,HAW,19.747,-155.1,7/13/2019
HAW_OCC_010,HAW,19.244,-155.9,7/6/2016
HAW_OCC_010,HAW,19.244,-155.9,7/19/2019
HAW_SIO_K08,HAW,19.443,-155.913,4/13/2015
HAW_SIO_K08,HAW,19.443,-155.913,4/8/2017
HAW_SIO_K08,HAW,19.443,-155.913,7/19/2019
HAW_SIO_K10,HAW,19.64222,-156.01208,4/13/2015
HAW_SIO_K10,HAW,19.64222,-156.01208,4/8/2017
HAW_SIO_K10,HAW,19.64222,-156.01208,7/17/2019
KUR_OCC_010,KUR,28.385,-178.3,9/12/2016
KUR_OCC_010,KUR,28.385,-178.3,9/2/2019
LIS_OCC_005,LIS,26.03741,-173.87918,9/12/2013
LIS_OCC_005,LIS,26.03741,-173.87918,9/18/2016
LIS_OCC_005,LIS,26.03741,-173.87918,8/30/2019
MAI_OCC_002,MAI,20.869,-156.146,7/14/2016
MAI_OCC_002,MAI,20.869,-156.146,4/27/2019
MAI_SIO_K01,MAI,20.937,-156.694,7/21/2014
MAI_SIO_K01,MAI,20.937,-156.694,7/10/2015
MAI_SIO_K01,MAI,20.937,-156.694,11/3/2015
MAI_SIO_K01,MAI,20.937,-156.694,6/16/2016
MAI_SIO_K01,MAI,20.937,-156.694,7/4/2016
MAI_SIO_K01,MAI,20.937,-156.694,7/28/2017
MAI_SIO_K01,MAI,20.937,-156.694,1/1/2018
MAI_SIO_K01,MAI,20.937,-156.694,9/14/2018
MAI_SIO_K02,MAI,20.93884,-156.69383,7/21/2014
MAI_SIO_K02,MAI,20.93884,-156.69383,7/11/2015
MAI_SIO_K02,MAI,20.93884,-156.69383,7/4/2016
MAI_SIO_K02,MAI,20.93884,-156.69383,8/2/2017
MAI_SIO_K02,MAI,20.93884,-156.69383,9/14/2018
MAI_SIO_OL3,MAI,20.805,-156.6,7/22/2014
MAI_SIO_OL3,MAI,20.805,-156.6,7/14/2015
MAI_SIO_OL3,MAI,20.805,-156.6,11/4/2015
MAI_SIO_OL3,MAI,20.805,-156.6,6/16/2016
MAI_SIO_OL3,MAI,20.805,-156.6,11/29/2016
MAI_SIO_OL3,MAI,20.805,-156.6,7/26/2017
MOL_SIO_908,MOL,21.03795,-156.897,4/19/2017
MOL_SIO_908,MOL,21.03795,-156.897,5/3/2019
OAH_OCC_010,OAH,21.288,-157.9,3/7/2017
OAH_OCC_010,OAH,21.288,-157.9,5/7/2019
PHR_OCC_016,PHR,27.793,-175.9971,9/11/2013
PHR_OCC_016,PHR,27.793,-175.9971,9/11/2016
PHR_OCC_016,PHR,27.793,-175.9971,9/4/2019
OAH_OCC_005,OAH,21.47972,-157.7829,8/1/2016
OAH_OCC_005,OAH,21.47972,-157.7829,10/4/2018
